Kt_Kz,Datum,Verfahren,n,Anzahlwohnungen,Anzahl_Erstwohnungen,anteil_Erstwohnungen,anteil_zweitwohnungen,Kt_No
AG,2019-03-01,1,211,322308,291421,90.34431279620853,9.65568720379147,19
AG,2019-10-01,1,211,322308,291421,90.34431279620853,9.65568720379147,19
AG,2020-03-01,1,210,327207,295725,90.09480952380953,9.905190476190477,19
AG,2020-10-01,1,210,327207,295725,90.09480952380953,9.905190476190477,19
AG,2021-03-01,1,210,331454,301314,90.64804761904762,9.352,19
AG,2021-10-01,1,210,331454,301314,90.64804761904762,9.352,19
AG,2022-03-01,1,200,335496,306561,91.24565,8.75445,19
AG,2022-10-01,1,200,335496,306561,91.24565,8.75445,19
AG,2023-03-01,1,198,339904,311534,91.61510101010101,8.38489898989899,19
AI,2019-03-01,1,6,7917,6417,87.99833333333333,12.001666666666667,16
AI,2019-10-01,1,6,7917,6417,87.99833333333333,12.001666666666667,16
AI,2020-03-01,1,6,7993,6496,86.56166666666667,13.438333333333333,16
AI,2020-10-01,1,6,7993,6496,86.56166666666667,13.438333333333333,16
AI,2021-03-01,1,6,8161,6645,88.14166666666667,11.858333333333333,16
AI,2021-10-01,1,6,8161,6645,88.14166666666667,11.858333333333333,16
AI,2022-03-01,1,6,8196,6714,88.80166666666666,11.198333333333332,16
AI,2022-10-01,1,5,8196,6714,88.89,11.11,16
AI,2023-03-01,1,5,8248,6793,88.86800000000001,11.132,16
AR,2019-03-01,1,20,28877,23742,83.7955,16.2045,15
AR,2019-10-01,1,20,28877,23742,83.7955,16.2045,15
AR,2020-03-01,1,18,29051,23956,83.717,16.2835,15
AR,2020-03-01,4,2,29051,23956,83.717,16.2835,15
AR,2020-10-01,1,18,29051,23956,83.717,16.2835,15
AR,2020-10-01,7,2,29051,23956,83.717,16.2835,15
AR,2021-03-01,1,20,29199,24195,84.396,15.604000000000001,15
AR,2021-10-01,1,20,29199,24195,84.396,15.604000000000001,15
AR,2022-03-01,1,20,29520,24398,83.688,16.312,15
AR,2022-10-01,1,20,29520,24398,83.688,16.312,15
AR,2023-03-01,1,20,29710,24588,83.833,16.167,15
BE,2019-03-01,1,297,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-03-01,2,43,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-03-01,3,4,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-03-01,4,2,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,1,297,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,2,43,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,3,1,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,5,1,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,6,2,566412,467938,84.50378612716763,15.496242774566474,2
BE,2019-10-01,8,2,566412,467938,84.50378612716763,15.496242774566474,2
BE,2020-03-01,1,290,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-03-01,2,45,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-03-01,3,3,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-03-01,4,4,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,1,290,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,2,45,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,3,1,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,5,2,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,6,1,571210,472251,84.46429824561403,15.535701754385965,2
BE,2020-10-01,7,3,571210,472251,84.46429824561403,15.535701754385965,2
BE,2021-03-01,1,292,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-03-01,2,42,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-03-01,3,4,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-03-01,6,1,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-10-01,1,292,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-10-01,2,42,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-10-01,5,4,575523,479183,84.94566371681415,15.054395280235989,2
BE,2021-10-01,6,1,575523,479183,84.94566371681415,15.054395280235989,2
BE,2022-03-01,1,293,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-03-01,2,41,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-03-01,3,2,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-03-01,4,2,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,1,293,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,2,41,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,5,1,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,6,1,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,7,1,580108,483511,85.17541420118343,14.824644970414202,2
BE,2022-10-01,8,1,580108,483511,85.17541420118343,14.824644970414202,2
BE,2023-03-01,1,294,585360,488295,84.99970326409496,15.000296735905044,2
BE,2023-03-01,2,42,585360,488295,84.99970326409496,15.000296735905044,2
BE,2023-03-01,3,1,585360,488295,84.99970326409496,15.000296735905044,2
BL,2019-03-01,1,86,140967,127193,89.95267441860464,10.047325581395349,13
BL,2019-10-01,1,86,140967,127193,89.95267441860464,10.047325581395349,13
BL,2020-03-01,1,86,142572,128293,89.38453488372093,10.61546511627907,13
BL,2020-10-01,1,86,142572,128293,89.38453488372093,10.61546511627907,13
BL,2021-03-01,1,86,144074,129956,89.74616279069768,10.253837209302326,13
BL,2021-10-01,1,86,144074,129956,89.74616279069768,10.253837209302326,13
BL,2022-03-01,1,86,145805,131433,89.65058139534884,10.349418604651163,13
BL,2022-10-01,1,86,145805,131433,89.65058139534884,10.349418604651163,13
BL,2023-03-01,1,85,147549,133029,89.65383720930232,10.346162790697674,13
BL,2023-03-01,4,1,147549,133029,89.65383720930232,10.346162790697674,13
BS,2019-03-01,1,3,109699,96322,90.80666666666667,9.193333333333333,12
BS,2019-10-01,1,3,109699,96322,90.80666666666667,9.193333333333333,12
BS,2020-03-01,1,3,110775,97291,91.21333333333334,8.786666666666667,12
BS,2020-10-01,1,3,110775,97291,91.21333333333334,8.786666666666667,12
BS,2021-03-01,1,3,111971,97541,92.11,7.89,12
BS,2021-10-01,1,3,111971,97541,92.11,7.89,12
BS,2022-03-01,1,3,113284,98205,90.59333333333333,9.406666666666666,12
BS,2022-10-01,1,3,113284,98205,90.59333333333333,9.406666666666666,12
BS,2023-03-01,1,3,114687,98991,91.01666666666667,8.983333333333334,12
FR,2019-03-01,1,128,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-03-01,2,7,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-03-01,3,1,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,1,128,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,2,7,150814,129565,87.59647058823529,12.403529411764707,10
FR,2019-10-01,8,1,150814,129565,87.59647058823529,12.403529411764707,10
FR,2020-03-01,1,124,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-03-01,2,8,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-03-01,4,1,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,1,124,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,2,8,154279,132182,87.42593984962406,12.57421052631579,10
FR,2020-10-01,7,1,154279,132182,87.42593984962406,12.57421052631579,10
FR,2021-03-01,1,120,157732,135076,87.52359375,12.47640625,10
FR,2021-03-01,2,8,157732,135076,87.52359375,12.47640625,10
FR,2021-10-01,1,120,157732,135076,87.52359375,12.47640625,10
FR,2021-10-01,2,8,157732,135076,87.52359375,12.47640625,10
FR,2022-03-01,1,118,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-03-01,2,8,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-10-01,1,118,160244,138108,87.96357142857143,12.036428571428571,10
FR,2022-10-01,2,8,160244,138108,87.96357142857143,12.036428571428571,10
FR,2023-03-01,1,118,162947,141080,88.24849206349207,11.751507936507936,10
FR,2023-03-01,2,8,162947,141080,88.24849206349207,11.751507936507936,10
GE,2019-03-01,1,44,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-03-01,4,1,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-10-01,1,44,234442,198529,85.82955555555556,14.170444444444444,25
GE,2019-10-01,7,1,234442,198529,85.82955555555556,14.170444444444444,25
GE,2020-03-01,1,45,236782,200264,86.10355555555556,13.896444444444445,25
GE,2020-10-01,1,45,236782,200264,86.10355555555556,13.896444444444445,25
GE,2021-03-01,1,45,239005,202468,86.51933333333334,13.480666666666666,25
GE,2021-10-01,1,45,239005,202468,86.51933333333334,13.480666666666666,25
GE,2022-03-01,1,44,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-03-01,4,1,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-10-01,1,44,242351,204233,86.4071111111111,13.59288888888889,25
GE,2022-10-01,7,1,242351,204233,86.4071111111111,13.59288888888889,25
GE,2023-03-01,1,45,245856,207333,86.40444444444445,13.595555555555556,25
GL,2019-03-01,1,2,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-03-01,2,1,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-10-01,1,2,22388,17827,81.41666666666667,18.583333333333336,8
GL,2019-10-01,2,1,22388,17827,81.41666666666667,18.583333333333336,8
GL,2020-03-01,1,2,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-03-01,2,1,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-10-01,1,2,22637,18039,79.94333333333333,20.056666666666665,8
GL,2020-10-01,2,1,22637,18039,79.94333333333333,20.056666666666665,8
GL,2021-03-01,1,2,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-03-01,2,1,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-10-01,1,2,22798,18237,79.94333333333334,20.056666666666665,8
GL,2021-10-01,2,1,22798,18237,79.94333333333334,20.056666666666665,8
GL,2022-03-01,1,2,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-03-01,2,1,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-10-01,1,2,23028,18531,80.26666666666667,19.733333333333334,8
GL,2022-10-01,2,1,23028,18531,80.26666666666667,19.733333333333334,8
GL,2023-03-01,1,2,23033,18798,82,18,8
GL,2023-03-01,2,1,23033,18798,82,18,8
GR,2019-03-01,1,22,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,2,77,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,3,5,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-03-01,4,2,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,1,22,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,2,77,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,5,3,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,6,1,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,7,1,173013,91174,54.79452830188679,45.20556603773585,18
GR,2019-10-01,8,2,173013,91174,54.79452830188679,45.20556603773585,18
GR,2020-03-01,1,24,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,2,78,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,3,2,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-03-01,4,1,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,1,24,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,2,78,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,5,2,174441,92121,54.607142857142854,45.392857142857146,18
GR,2020-10-01,6,1,174441,92121,54.607142857142854,45.392857142857146,18
GR,2021-03-01,1,25,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-03-01,2,75,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-03-01,3,1,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,1,25,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,2,75,175936,93159,54.947722772277224,45.052475247524754,18
GR,2021-10-01,5,1,175936,93159,54.947722772277224,45.052475247524754,18
GR,2022-03-01,1,26,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-03-01,2,75,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-10-01,1,26,177328,94158,55.344257425742576,44.655841584158416,18
GR,2022-10-01,2,75,177328,94158,55.344257425742576,44.655841584158416,18
GR,2023-03-01,1,25,179452,94979,54.71158415841584,45.28841584158416,18
GR,2023-03-01,2,75,179452,94979,54.71158415841584,45.28841584158416,18
GR,2023-03-01,4,1,179452,94979,54.71158415841584,45.28841584158416,18
JU,2019-03-01,1,42,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,2,8,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,3,2,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-03-01,4,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,1,42,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,2,8,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,5,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,6,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2019-10-01,8,1,37832,31892,83.2422641509434,16.757735849056605,26
JU,2020-03-01,1,42,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,2,9,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,3,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-03-01,4,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,1,42,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,2,9,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,5,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2020-10-01,7,1,38301,32303,83.38169811320755,16.61830188679245,26
JU,2021-03-01,1,42,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,2,8,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,3,1,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-03-01,4,2,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,1,42,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,2,8,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,5,1,38899,32736,83.54471698113207,16.455471698113207,26
JU,2021-10-01,6,2,38899,32736,83.54471698113207,16.455471698113207,26
JU,2022-03-01,1,41,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,2,7,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,3,3,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-03-01,4,2,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,1,41,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,2,7,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,5,2,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,6,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,7,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2022-10-01,8,1,39498,33099,83.36830188679245,16.63169811320755,26
JU,2023-03-01,1,42,39964,33402,83.27509803921569,16.72490196078431,26
JU,2023-03-01,2,8,39964,33402,83.27509803921569,16.72490196078431,26
JU,2023-03-01,3,1,39964,33402,83.27509803921569,16.72490196078431,26
LU,2019-03-01,1,79,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-03-01,2,3,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-03-01,4,1,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,1,79,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,2,3,197965,175208,88.54036144578313,11.459638554216868,3
LU,2019-10-01,7,1,197965,175208,88.54036144578313,11.459638554216868,3
LU,2020-03-01,1,79,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-03-01,2,3,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-10-01,1,79,201129,177823,88.45585365853658,11.544146341463415,3
LU,2020-10-01,2,3,201129,177823,88.45585365853658,11.544146341463415,3
LU,2021-03-01,1,77,203787,180986,88.832875,11.167125,3
LU,2021-03-01,2,3,203787,180986,88.832875,11.167125,3
LU,2021-10-01,1,77,203787,180986,88.832875,11.167125,3
LU,2021-10-01,2,3,203787,180986,88.832875,11.167125,3
LU,2022-03-01,1,77,206044,183520,89.205,10.795,3
LU,2022-03-01,2,3,206044,183520,89.205,10.795,3
LU,2022-10-01,1,77,206044,183520,89.205,10.795,3
LU,2022-10-01,2,3,206044,183520,89.205,10.795,3
LU,2023-03-01,1,77,208309,186914,89.401125,10.598875,3
LU,2023-03-01,2,3,208309,186914,89.401125,10.598875,3
NE,2019-03-01,1,26,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-03-01,2,4,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-03-01,3,1,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,1,26,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,2,4,94674,80487,83.19129032258064,16.808709677419355,24
NE,2019-10-01,5,1,94674,80487,83.19129032258064,16.808709677419355,24
NE,2020-03-01,1,26,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-03-01,2,4,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-03-01,4,1,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,1,26,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,2,4,95563,81020,83.19258064516129,16.80741935483871,24
NE,2020-10-01,6,1,95563,81020,83.19258064516129,16.80741935483871,24
NE,2021-03-01,1,22,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-03-01,2,4,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-03-01,3,1,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,1,22,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,2,4,96395,81456,83.96703703703703,16.032962962962962,24
NE,2021-10-01,5,1,96395,81456,83.96703703703703,16.032962962962962,24
NE,2022-03-01,1,23,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-03-01,2,3,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-03-01,3,1,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,1,23,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,2,3,97214,81981,84.20185185185186,15.798148148148147,24
NE,2022-10-01,5,1,97214,81981,84.20185185185186,15.798148148148147,24
NE,2023-03-01,1,24,97680,82946,84.10148148148149,15.898518518518518,24
NE,2023-03-01,2,3,97680,82946,84.10148148148149,15.898518518518518,24
NW,2019-03-01,1,10,21777,18860,87.08545454545454,12.914545454545454,7
NW,2019-03-01,2,1,21777,18860,87.08545454545454,12.914545454545454,7
