Kt_Kz,Datum,Verfahren,n,Anzahlwohnungen,Anzahl_Erstwohnungen,anteil_Erstwohnungen,anteil_zweitwohnungen,Kt_No
NW,2019-10-01,1,10,21777,18860,87.08545454545454,12.914545454545454,7
NW,2019-10-01,2,1,21777,18860,87.08545454545454,12.914545454545454,7
NW,2020-03-01,1,10,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-03-01,2,1,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-10-01,1,10,21811,18941,86.84818181818181,13.151818181818182,7
NW,2020-10-01,2,1,21811,18941,86.84818181818181,13.151818181818182,7
NW,2021-03-01,1,10,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-03-01,2,1,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-10-01,1,10,22142,19240,87.49909090909091,12.500909090909092,7
NW,2021-10-01,2,1,22142,19240,87.49909090909091,12.500909090909092,7
NW,2022-03-01,1,10,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-03-01,2,1,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-10-01,1,10,22461,19643,87.90363636363637,12.096363636363636,7
NW,2022-10-01,2,1,22461,19643,87.90363636363637,12.096363636363636,7
NW,2023-03-01,1,10,22776,19937,87.74454545454546,12.255454545454546,7
NW,2023-03-01,2,1,22776,19937,87.74454545454546,12.255454545454546,7
OW,2019-03-01,1,6,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-03-01,2,1,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-10-01,1,6,21427,15826,78.83285714285714,21.167142857142856,6
OW,2019-10-01,2,1,21427,15826,78.83285714285714,21.167142857142856,6
OW,2020-03-01,1,6,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-03-01,2,1,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-10-01,1,6,21527,15939,79.20285714285714,20.797142857142855,6
OW,2020-10-01,2,1,21527,15939,79.20285714285714,20.797142857142855,6
OW,2021-03-01,1,6,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-03-01,2,1,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-10-01,1,6,21948,16169,79.08285714285715,20.917142857142856,6
OW,2021-10-01,2,1,21948,16169,79.08285714285715,20.917142857142856,6
OW,2022-03-01,1,6,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-03-01,2,1,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-10-01,1,6,22169,16394,79.24142857142857,20.75857142857143,6
OW,2022-10-01,2,1,22169,16394,79.24142857142857,20.75857142857143,6
OW,2023-03-01,1,6,22377,16601,79.42142857142858,20.57857142857143,6
OW,2023-03-01,2,1,22377,16601,79.42142857142858,20.57857142857143,6
SG,2019-03-01,1,70,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-03-01,2,7,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-10-01,1,70,256776,218751,85.3712987012987,14.628701298701298,17
SG,2019-10-01,2,7,256776,218751,85.3712987012987,14.628701298701298,17
SG,2020-03-01,1,69,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-03-01,2,7,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-03-01,4,1,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,1,69,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,2,7,260281,221781,85.34051948051948,14.65948051948052,17
SG,2020-10-01,7,1,260281,221781,85.34051948051948,14.65948051948052,17
SG,2021-03-01,1,70,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-03-01,2,7,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-10-01,1,70,263099,224765,85.47753246753247,14.522467532467532,17
SG,2021-10-01,2,7,263099,224765,85.47753246753247,14.522467532467532,17
SG,2022-03-01,1,70,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-03-01,2,7,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-10-01,1,70,266514,228168,86.15584415584415,13.844155844155845,17
SG,2022-10-01,2,7,266514,228168,86.15584415584415,13.844155844155845,17
SG,2023-03-01,1,68,269800,232269,86.47106666666667,13.528933333333333,17
SG,2023-03-01,2,6,269800,232269,86.47106666666667,13.528933333333333,17
SG,2023-03-01,3,1,269800,232269,86.47106666666667,13.528933333333333,17
SH,2019-03-01,1,26,42306,37072,87.91,12.09,14
SH,2019-10-01,1,26,42306,37072,87.91,12.09,14
SH,2020-03-01,1,26,42753,37637,88.22807692307693,11.771923076923077,14
SH,2020-10-01,1,26,42753,37637,88.22807692307693,11.771923076923077,14
SH,2021-03-01,1,26,43432,38240,88.46192307692307,11.538076923076924,14
SH,2021-10-01,1,26,43432,38240,88.46192307692307,11.538076923076924,14
SH,2022-03-01,1,26,44094,38808,88.74307692307693,11.256923076923076,14
SH,2022-10-01,1,26,44094,38808,88.74307692307693,11.256923076923076,14
SH,2023-03-01,1,26,44699,39611,88.58615384615385,11.413846153846155,14
SO,2019-03-01,1,108,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-03-01,2,1,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-10-01,1,108,137127,120974,89.1791743119266,10.82091743119266,11
SO,2019-10-01,2,1,137127,120974,89.1791743119266,10.82091743119266,11
SO,2020-03-01,1,108,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-03-01,2,1,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-10-01,1,108,138998,122549,88.93357798165138,11.066422018348623,11
SO,2020-10-01,2,1,138998,122549,88.93357798165138,11.066422018348623,11
SO,2021-03-01,1,106,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-03-01,2,1,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-10-01,1,106,140888,124253,89.24056074766355,10.759532710280373,11
SO,2021-10-01,2,1,140888,124253,89.24056074766355,10.759532710280373,11
SO,2022-03-01,1,106,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-03-01,2,1,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-10-01,1,106,142457,126118,89.53682242990654,10.463177570093459,11
SO,2022-10-01,2,1,142457,126118,89.53682242990654,10.463177570093459,11
SO,2023-03-01,1,105,143883,127908,89.89831775700935,10.10177570093458,11
SO,2023-03-01,3,1,143883,127908,89.89831775700935,10.10177570093458,11
SO,2023-03-01,4,1,143883,127908,89.89831775700935,10.10177570093458,11
SZ,2019-03-01,1,24,78822,67527,80.763,19.237,5
SZ,2019-03-01,2,6,78822,67527,80.763,19.237,5
SZ,2019-10-01,1,24,78822,67527,80.763,19.237,5
SZ,2019-10-01,2,6,78822,67527,80.763,19.237,5
SZ,2020-03-01,1,24,79738,68659,81.131,18.869,5
SZ,2020-03-01,2,6,79738,68659,81.131,18.869,5
SZ,2020-10-01,1,24,79738,68659,81.131,18.869,5
SZ,2020-10-01,2,6,79738,68659,81.131,18.869,5
SZ,2021-03-01,1,24,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-03-01,2,6,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-10-01,1,24,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2021-10-01,2,6,80305,69651,81.54166666666667,18.458333333333332,5
SZ,2022-03-01,1,24,81247,71103,82.976,17.024,5
SZ,2022-03-01,2,6,81247,71103,82.976,17.024,5
SZ,2022-10-01,1,24,81247,71103,82.976,17.024,5
SZ,2022-10-01,2,6,81247,71103,82.976,17.024,5
SZ,2023-03-01,1,24,82154,71810,82.902,17.098,5
SZ,2023-03-01,2,6,82154,71810,82.902,17.098,5
TG,2019-03-01,1,78,134433,119297,88.717625,11.282375,20
TG,2019-03-01,3,1,134433,119297,88.717625,11.282375,20
TG,2019-03-01,4,1,134433,119297,88.717625,11.282375,20
TG,2019-10-01,1,78,134433,119297,88.717625,11.282375,20
TG,2019-10-01,7,1,134433,119297,88.717625,11.282375,20
TG,2019-10-01,8,1,134433,119297,88.717625,11.282375,20
TG,2020-03-01,1,79,136325,121305,88.576875,11.423125,20
TG,2020-03-01,2,1,136325,121305,88.576875,11.423125,20
TG,2020-10-01,1,79,136325,121305,88.576875,11.423125,20
TG,2020-10-01,2,1,136325,121305,88.576875,11.423125,20
TG,2021-03-01,1,79,138132,123260,88.97675,11.023249999999999,20
TG,2021-03-01,2,1,138132,123260,88.97675,11.023249999999999,20
TG,2021-10-01,1,79,138132,123260,88.97675,11.023249999999999,20
TG,2021-10-01,2,1,138132,123260,88.97675,11.023249999999999,20
TG,2022-03-01,1,79,140062,125351,89.26975,10.73025,20
TG,2022-03-01,2,1,140062,125351,89.26975,10.73025,20
TG,2022-10-01,1,79,140062,125351,89.26975,10.73025,20
TG,2022-10-01,2,1,140062,125351,89.26975,10.73025,20
TG,2023-03-01,1,79,142134,127327,89.394,10.606125,20
TG,2023-03-01,2,1,142134,127327,89.394,10.606125,20
TI,2019-03-01,1,46,238238,163202,63.36504347826087,36.63495652173913,21
TI,2019-03-01,2,67,238238,163202,63.36504347826087,36.63495652173913,21
TI,2019-03-01,3,2,238238,163202,63.36504347826087,36.63495652173913,21
TI,2019-10-01,1,46,238238,163202,63.36504347826087,36.63495652173913,21
TI,2019-10-01,2,67,238238,163202,63.36504347826087,36.63495652173913,21
TI,2019-10-01,3,2,238238,163202,63.36504347826087,36.63495652173913,21
TI,2020-03-01,1,45,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-03-01,2,67,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-03-01,3,2,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-03-01,4,1,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-10-01,1,45,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-10-01,2,67,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-10-01,3,2,240708,163188,62.461652173913045,37.538347826086955,21
TI,2020-10-01,7,1,240708,163188,62.461652173913045,37.538347826086955,21
TI,2021-03-01,1,46,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-03-01,2,63,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-03-01,3,1,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-03-01,4,1,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-10-01,1,47,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-10-01,2,63,243125,163739,63.991171171171175,36.008828828828825,21
TI,2021-10-01,6,1,243125,163739,63.991171171171175,36.008828828828825,21
TI,2022-03-01,1,46,247138,165714,64.15805555555555,35.841944444444444,21
TI,2022-03-01,2,61,247138,165714,64.15805555555555,35.841944444444444,21
TI,2022-03-01,4,1,247138,165714,64.15805555555555,35.841944444444444,21
TI,2022-10-01,1,45,247138,165714,64.06490566037736,35.935094339622644,21
TI,2022-10-01,2,59,247138,165714,64.06490566037736,35.935094339622644,21
TI,2022-10-01,4,1,247138,165714,64.06490566037736,35.935094339622644,21
TI,2022-10-01,6,1,247138,165714,64.06490566037736,35.935094339622644,21
TI,2023-03-01,1,43,249315,168310,63.808584905660375,36.191415094339625,21
TI,2023-03-01,2,60,249315,168310,63.808584905660375,36.191415094339625,21
TI,2023-03-01,4,3,249315,168310,63.808584905660375,36.191415094339625,21
UR,2019-03-01,1,9,19943,15315,70.8735,29.1265,4
UR,2019-03-01,2,10,19943,15315,70.8735,29.1265,4
UR,2019-03-01,4,1,19943,15315,70.8735,29.1265,4
UR,2019-10-01,1,9,19943,15315,70.8735,29.1265,4
UR,2019-10-01,2,10,19943,15315,70.8735,29.1265,4
UR,2019-10-01,4,1,19943,15315,70.8735,29.1265,4
UR,2020-03-01,1,10,20012,15456,71.311,28.689,4
UR,2020-03-01,2,10,20012,15456,71.311,28.689,4
UR,2020-10-01,1,10,20012,15456,71.311,28.689,4
UR,2020-10-01,2,10,20012,15456,71.311,28.689,4
UR,2021-03-01,1,9,20428,15692,71.27157894736843,28.728421052631578,4
UR,2021-03-01,2,9,20428,15692,71.27157894736843,28.728421052631578,4
UR,2021-03-01,3,1,20428,15692,71.27157894736843,28.728421052631578,4
UR,2021-10-01,1,9,20428,15692,71.27157894736843,28.728421052631578,4
UR,2021-10-01,2,9,20428,15692,71.27157894736843,28.728421052631578,4
UR,2021-10-01,5,1,20428,15692,71.27157894736843,28.728421052631578,4
UR,2022-03-01,1,10,20887,15994,70.74894736842106,29.251578947368422,4
UR,2022-03-01,2,9,20887,15994,70.74894736842106,29.251578947368422,4
UR,2022-10-01,1,10,20887,15994,70.74894736842106,29.251578947368422,4
UR,2022-10-01,2,9,20887,15994,70.74894736842106,29.251578947368422,4
UR,2023-03-01,1,10,21253,16268,70.74473684210527,29.25526315789474,4
UR,2023-03-01,2,9,21253,16268,70.74473684210527,29.25526315789474,4
VD,2019-03-01,1,282,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-03-01,2,23,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-03-01,3,2,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-03-01,4,2,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-10-01,1,282,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-10-01,2,23,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-10-01,5,2,408811,348014,86.40155339805825,13.598478964401295,22
VD,2019-10-01,7,2,408811,348014,86.40155339805825,13.598478964401295,22
VD,2020-03-01,1,281,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-03-01,2,23,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-03-01,4,5,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-10-01,1,281,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-10-01,2,23,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-10-01,6,1,413847,353117,86.56857605177993,13.43145631067961,22
VD,2020-10-01,7,4,413847,353117,86.56857605177993,13.43145631067961,22
VD,2021-03-01,1,282,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-03-01,2,20,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-03-01,3,4,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-03-01,4,2,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-10-01,1,282,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-10-01,2,20,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-10-01,5,4,420290,358830,87.29623376623377,12.703766233766233,22
VD,2021-10-01,7,2,420290,358830,87.29623376623377,12.703766233766233,22
VD,2022-03-01,1,279,425219,364943,87.60806666666667,12.392,22
VD,2022-03-01,2,19,425219,364943,87.60806666666667,12.392,22
VD,2022-03-01,3,1,425219,364943,87.60806666666667,12.392,22
VD,2022-03-01,4,1,425219,364943,87.60806666666667,12.392,22
VD,2022-10-01,1,279,425219,364943,87.60806666666667,12.392,22
VD,2022-10-01,2,19,425219,364943,87.60806666666667,12.392,22
VD,2022-10-01,7,1,425219,364943,87.60806666666667,12.392,22
VD,2022-10-01,8,1,425219,364943,87.60806666666667,12.392,22
VD,2023-03-01,1,279,430170,370078,87.51673333333333,12.4833,22
VD,2023-03-01,2,19,430170,370078,87.51673333333333,12.4833,22
VD,2023-03-01,3,1,430170,370078,87.51673333333333,12.4833,22
VD,2023-03-01,4,1,430170,370078,87.51673333333333,12.4833,22
VS,2019-03-01,1,35,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-03-01,2,88,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-03-01,3,2,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-03-01,4,1,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-10-01,1,35,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-10-01,2,88,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-10-01,3,1,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-10-01,4,1,253712,151602,57.753015873015876,42.246984126984124,23
VS,2019-10-01,8,1,253712,151602,57.753015873015876,42.246984126984124,23
VS,2020-03-01,1,34,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-03-01,2,86,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-03-01,3,5,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-03-01,4,1,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,1,34,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,2,86,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,3,1,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,5,1,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,6,1,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,7,1,256462,154259,57.496746031746035,42.50333333333333,23
VS,2020-10-01,8,2,256462,154259,57.496746031746035,42.50333333333333,23
VS,2021-03-01,1,32,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-03-01,2,85,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-03-01,3,3,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-03-01,4,1,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-03-01,5,1,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-10-01,1,32,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-10-01,2,85,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-10-01,5,3,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-10-01,7,1,259715,156678,56.61483606557377,43.385245901639344,23
VS,2021-10-01,8,1,259715,156678,56.61483606557377,43.385245901639344,23
VS,2022-03-01,1,36,263186,160002,56.52139344262295,43.47868852459016,23
VS,2022-03-01,2,85,263186,160002,56.52139344262295,43.47868852459016,23
VS,2022-03-01,3,1,263186,160002,56.52139344262295,43.47868852459016,23
VS,2022-10-01,1,36,263186,160002,56.52139344262295,43.47868852459016,23
VS,2022-10-01,2,85,263186,160002,56.52139344262295,43.47868852459016,23
VS,2022-10-01,5,1,263186,160002,56.52139344262295,43.47868852459016,23
VS,2023-03-01,1,36,267026,163765,56.84106557377049,43.15901639344262,23
VS,2023-03-01,2,85,267026,163765,56.84106557377049,43.15901639344262,23
VS,2023-03-01,4,1,267026,163765,56.84106557377049,43.15901639344262,23
ZG,2019-03-01,1,11,58660,54102,91.86727272727272,8.132727272727273,9
ZG,2019-10-01,1,11,58660,54102,91.86727272727272,8.132727272727273,9
ZG,2020-03-01,1,11,59172,54620,91.95818181818181,8.041818181818181,9
ZG,2020-10-01,1,11,59172,54620,91.95818181818181,8.041818181818181,9
ZG,2021-03-01,1,11,59860,55263,92.34818181818181,7.651818181818182,9
ZG,2021-10-01,1,11,59860,55263,92.34818181818181,7.651818181818182,9
ZG,2022-03-01,1,11,60225,55765,92.34363636363636,7.656363636363636,9
ZG,2022-10-01,1,11,60225,55765,92.34363636363636,7.656363636363636,9
ZG,2023-03-01,1,11,60783,56034,91.98,8.02,9
ZH,2019-03-01,1,162,741141,674548,91.94635802469136,8.053641975308642,1
ZH,2019-10-01,1,162,741141,674548,91.94635802469136,8.053641975308642,1
ZH,2020-03-01,1,162,749851,685573,92.06907407407408,7.9309259259259255,1
ZH,2020-10-01,1,162,749851,685573,92.06907407407408,7.9309259259259255,1
ZH,2021-03-01,1,162,759161,696600,92.47296296296297,7.527037037037037,1
ZH,2021-10-01,1,162,759161,696600,92.47296296296297,7.527037037037037,1
ZH,2022-03-01,1,162,766548,704466,92.6158024691358,7.3842592592592595,1
ZH,2022-10-01,1,162,766548,704466,92.6158024691358,7.3842592592592595,1
ZH,2023-03-01,1,160,774642,712870,92.756875,7.243125,1
